127.0.0.1 - - [11/May/2018:09:16:52 +0700] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [11/May/2018:09:16:56 +0700] "GET /CRUD/SinhVien/Info.jsp HTTP/1.1" 200 15625
0:0:0:0:0:0:0:1 - - [11/May/2018:09:25:01 +0700] "GET /CRUD/SinhVien/Info.jsp HTTP/1.1" 200 2308
0:0:0:0:0:0:0:1 - - [11/May/2018:09:25:02 +0700] "GET null null" 400 2332
0:0:0:0:0:0:0:1 - - [11/May/2018:09:25:02 +0700] "GET null null" 400 2332
0:0:0:0:0:0:0:1 - - [11/May/2018:09:34:37 +0700] "GET /CRUD/SinhVien/Info.jsp HTTP/1.1" 500 4048
0:0:0:0:0:0:0:1 - - [11/May/2018:09:35:20 +0700] "GET /CRUD/SinhVien/Info.jsp HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [11/May/2018:09:36:13 +0700] "GET /CRUD/SinhVien/Info.jsp HTTP/1.1" 200 1251
0:0:0:0:0:0:0:1 - - [11/May/2018:09:36:56 +0700] "GET /CRUD/SinhVien/Info.jsp HTTP/1.1" 200 1290
0:0:0:0:0:0:0:1 - - [11/May/2018:09:37:20 +0700] "GET /CRUD/SinhVien/Info.jsp HTTP/1.1" 200 1268
0:0:0:0:0:0:0:1 - - [11/May/2018:09:45:18 +0700] "GET /CRUD/SinhVien/Info.jsp HTTP/1.1" 200 2850
0:0:0:0:0:0:0:1 - - [11/May/2018:09:46:53 +0700] "GET /CRUD/SinhVien/Info.jsp HTTP/1.1" 200 2793
0:0:0:0:0:0:0:1 - - [11/May/2018:09:51:27 +0700] "GET /CRUD/SinhVien/Info.jsp HTTP/1.1" 200 2793
0:0:0:0:0:0:0:1 - - [11/May/2018:10:08:34 +0700] "GET /CRUD/SinhVien/Info.jsp HTTP/1.1" 200 2759
0:0:0:0:0:0:0:1 - - [11/May/2018:10:08:52 +0700] "GET /CRUD/SinhVien/ HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [11/May/2018:10:17:27 +0700] "GET /CRUD/SinhVien/Info.jsp HTTP/1.1" 200 3515
0:0:0:0:0:0:0:1 - - [11/May/2018:10:18:09 +0700] "GET /CRUD/SinhVien/Info.jsp HTTP/1.1" 200 3171
0:0:0:0:0:0:0:1 - - [11/May/2018:10:18:56 +0700] "GET /CRUD/SinhVien/Info.jsp HTTP/1.1" 200 3201
0:0:0:0:0:0:0:1 - - [11/May/2018:10:19:19 +0700] "GET /CRUD/SinhVien/Info.jsp HTTP/1.1" 200 3203
0:0:0:0:0:0:0:1 - - [11/May/2018:10:19:29 +0700] "GET /CRUD/SinhVien/Info.jsp HTTP/1.1" 200 3207
0:0:0:0:0:0:0:1 - - [11/May/2018:10:28:37 +0700] "GET /demo2/home.jsp HTTP/1.1" 200 941
0:0:0:0:0:0:0:1 - - [11/May/2018:10:28:44 +0700] "GET /demo2/insert.jsp HTTP/1.1" 200 839
0:0:0:0:0:0:0:1 - - [11/May/2018:10:28:48 +0700] "GET /demo2/insert.jsp?ma=1&name=1&age=1&dress=1&insert= HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/May/2018:10:28:48 +0700] "GET /demo2/home.jsp HTTP/1.1" 200 1120
